feature,coefficient,rate_relativity
const,-2.972146,0.051193
DURATION_10,2.161651,8.685464
DURATION_11,1.749268,5.750391
DURATION_12,0.907913,2.479144
DURATION_13+,0.57157,1.771046
GENDER_M,0.034211,1.034803
ISSUE_AGE_GROUP_0-19,-0.905924,0.404168
ISSUE_AGE_GROUP_20-29,-0.001419,0.998582
ISSUE_AGE_GROUP_30-39,-0.051424,0.949876
ISSUE_AGE_GROUP_50-59,0.058424,1.060165
ISSUE_AGE_GROUP_60-69,0.060314,1.06217
ISSUE_AGE_GROUP_70+,0.089897,1.094062
FACE_AMOUNT_BAND_A. < 100k,-0.057745,0.943891
FACE_AMOUNT_BAND_C. 250k-999k,0.06325,1.065293
FACE_AMOUNT_BAND_D. 1M +,0.135847,1.145507
POST_LEVEL_PREMIUM_STRUCTURE_2. Premium Jump t...,-0.578365,0.560815
PREM_JUMP_D11_D10_B. 2.01 - 3.00,0.150002,1.161837
PREM_JUMP_D11_D10_C. 3.01 - 4.00,0.341654,1.407273
PREM_JUMP_D11_D10_D. 4.01 - 5.00,0.398078,1.488961
PREM_JUMP_D11_D10_E. 5.01 - 6.00,0.438502,1.550384
PREM_JUMP_D11_D10_F. 6.01 - 7.00,0.453126,1.573222
PREM_JUMP_D11_D10_G. 7.01 - 8.00,0.47363,1.605812
PREM_JUMP_D11_D10_H. 8.01 - 9.00,0.462844,1.588585
PREM_JUMP_D11_D10_I. 9.01 - 10.00,0.425644,1.530576
PREM_JUMP_D11_D10_J. 10.01 - 11.00,0.400978,1.493285
PREM_JUMP_D11_D10_K. 11.01 - 12.00,0.384629,1.469069
PREM_JUMP_D11_D10_L. 12.01 - 13.00,0.34923,1.417976
PREM_JUMP_D11_D10_M. 13.01 - 14.00,0.311468,1.365428
PREM_JUMP_D11_D10_N. 14.01 - 15.00,0.359325,1.432362
PREM_JUMP_D11_D10_O. 15.01 - 16.00,0.36586,1.441753
PREM_JUMP_D11_D10_P. 16.01 - 17.00,0.287904,1.333629
PREM_JUMP_D11_D10_Q. 17.01 - 18.00,0.312073,1.366254
PREM_JUMP_D11_D10_R. 18.01 - 19.00,0.254121,1.289327
PREM_JUMP_D11_D10_S. 19.01 - 20.00,0.177749,1.194525
PREM_JUMP_D11_D10_T. 20.01 - 21.00,0.099638,1.104771
PREM_JUMP_D11_D10_U. 21.01 - 22.00,0.162019,1.175883
PREM_JUMP_D11_D10_V. 22.01 - 23.00,0.148921,1.160581
PREM_JUMP_D11_D10_W. 23.01 - 24.00,0.213611,1.23814
PREM_JUMP_D11_D10_X. 24.01 AND UP,0.151559,1.163647
PREM_JUMP_D11_D10_Y. Unknown,0.439306,1.55163
RISK_CLASS_Agg/Unknown,-0.107146,0.898395
RISK_CLASS_Non-Pref NS,0.00683,1.006853
RISK_CLASS_Non-Pref SM,0.161558,1.175341
RISK_CLASS_Pref Best NS,0.029278,1.02971
RISK_CLASS_Pref SM,0.073549,1.076321
RISK_CLASS_Super-Pref NS,0.052191,1.053577
RISK_CLASS_Undiff NS,0.04682,1.047934
RISK_CLASS_Undiff SM,0.201496,1.223231
PREMIUM_MODE_2. Semiannual,-0.023482,0.976791
PREMIUM_MODE_3. Quarterly,-0.035059,0.965548
PREMIUM_MODE_4. Monthly,-0.172628,0.84145
PREMIUM_MODE_5. Biweekly,-0.338615,0.712757
PREMIUM_MODE_6. Unknown/Other,-0.079422,0.92365
