PREM_JUMP_D11_D10,exposure,lapses,lapse_rate
A. 1.01 - 2.00,71005.712059,11553.0,0.162705
B. 2.01 - 3.00,143440.593944,41925.0,0.292281
C. 3.01 - 4.00,58485.205292,29758.0,0.508812
D. 4.01 - 5.00,39578.415188,25771.0,0.651138
E. 5.01 - 6.00,32288.344457,24636.0,0.763
F. 6.01 - 7.00,29236.152848,23998.0,0.820833
G. 7.01 - 8.00,23907.229905,20033.0,0.837947
H. 8.01 - 9.00,17214.3287,14659.0,0.851558
I. 9.01 - 10.00,15029.556381,13015.0,0.86596
J. 10.01 - 11.00,9739.468037,8634.0,0.886496
K. 11.01 - 12.00,11620.140445,10287.0,0.885273
L. 12.01 - 13.00,8054.745205,7214.0,0.895621
M. 13.01 - 14.00,5430.439232,4840.0,0.891272
N. 14.01 - 15.00,6117.145205,5508.0,0.90042
O. 15.01 - 16.00,5888.380822,5246.0,0.890907
P. 16.01 - 17.00,2569.317808,2378.0,0.925538
Q. 17.01 - 18.00,2406.947945,2238.0,0.929808
R. 18.01 - 19.00,2326.969863,2144.0,0.92137
S. 19.01 - 20.00,1277.821918,1221.0,0.955532
T. 20.01 - 21.00,737.980822,702.0,0.951244
U. 21.01 - 22.00,525.975342,502.0,0.954417
V. 22.01 - 23.00,484.235616,461.0,0.952016
W. 23.01 - 24.00,826.520548,787.0,0.952184
X. 24.01 AND UP,3048.028153,2895.0,0.949794
Y. Unknown,259488.401063,176932.0,0.681849
